航班日期,航线金额
2023-12-22,784390.58
2023-12-23,511316.54
2023-12-24,636612.78
2023-12-25,636306.1
2023-12-26,518279.4
2023-12-27,668665.35
2023-12-28,732326.64
2023-12-29,1040086.0
2023-12-30,740359.38
2023-12-31,503901.69
