航班日期,航班号,实际销售额（sale_volume）
2023-04-03,KN5955,107782.0
2023-04-03,KN5956,120540.0
2023-04-03,KN5977,77733.0
2023-04-03,KN5978,94659.92
2023-04-04,KN5737,96630.0
2023-04-04,KN5738,150672.0
2023-04-04,KN5955,121012.0
2023-04-04,KN5956,103682.0
2023-04-04,KN5977,108037.0
2023-04-04,KN5978,64654.5
2023-04-05,KN5737,141980.0
2023-04-05,KN5738,213515.0
2023-04-05,KN5955,175457.0
2023-04-05,KN5956,155047.0
2023-04-05,KN5977,79870.0
2023-04-05,KN5978,103409.52
2023-04-06,KN5737,162147.0
2023-04-06,KN5738,237087.0
2023-04-06,KN5955,181210.0
2023-04-06,KN5956,160523.0
2023-04-06,KN5977,97131.0
2023-04-06,KN5978,113545.0
2023-04-07,KN5737,138421.0
2023-04-07,KN5738,190128.0
2023-04-07,KN5955,263378.0
2023-04-07,KN5956,238040.0
2023-04-07,KN5977,146722.0
2023-04-07,KN5978,80115.0
2023-04-08,KN5737,146086.0
2023-04-08,KN5738,195427.0
2023-04-08,KN5955,195114.0
2023-04-08,KN5956,156681.0
2023-04-08,KN5977,83266.0
2023-04-08,KN5978,109934.7
2023-04-09,KN5737,148358.0
2023-04-09,KN5738,245196.0
2023-04-09,KN5955,295870.0
2023-04-09,KN5956,240305.0
2023-04-09,KN5977,136810.0
2023-04-09,KN5978,110650.0
2023-04-10,KN5737,156594.0
2023-04-10,KN5738,247657.0
2023-04-10,KN5955,187668.0
2023-04-10,KN5956,175414.0
2023-04-10,KN5977,73222.0
2023-04-10,KN5978,130068.9
2023-04-11,KN5737,162610.0
2023-04-11,KN5738,243686.0
2023-04-11,KN5955,198392.0
2023-04-11,KN5956,169654.0
2023-04-11,KN5977,100157.0
2023-04-12,KN5737,158736.0
2023-04-12,KN5738,220344.0
2023-04-12,KN5955,224827.0
2023-04-12,KN5956,176753.0
2023-04-12,KN5977,103962.0
2023-04-12,KN5978,131872.0
2023-04-13,KN5737,160858.0
2023-04-13,KN5738,233515.0
2023-04-13,KN5977,117307.0
2023-04-13,KN5978,107192.92
2023-04-14,KN5737,166930.0
2023-04-14,KN5738,238003.0
2023-04-14,KN5955,179323.0
2023-04-14,KN5956,165769.0
2023-04-14,KN5977,190035.0
2023-04-14,KN5978,105709.5
2023-04-15,KN5737,173772.0
2023-04-15,KN5738,214386.0
2023-04-15,KN5955,121065.0
2023-04-15,KN5956,113295.5
2023-04-15,KN5977,96011.0
2023-04-15,KN5978,113536.92
2023-04-16,KN5737,156647.0
2023-04-16,KN5738,229774.0
2023-04-16,KN5956,246457.0
2023-04-16,KN5978,97737.5
2023-04-17,KN5737,194424.0
2023-04-17,KN5738,228272.0
2023-04-17,KN5955,219314.0
2023-04-17,KN5956,129102.0
2023-04-17,KN5977,85330.0
2023-04-17,KN5978,115217.0
2023-04-18,KN5737,144370.0
2023-04-18,KN5738,221394.0
2023-04-18,KN5955,188969.0
2023-04-18,KN5956,154577.0
2023-04-18,KN5977,85132.5
2023-04-18,KN5978,113787.0
2023-04-19,KN5737,169986.0
2023-04-19,KN5738,277729.0
2023-04-19,KN5955,210564.0
2023-04-19,KN5956,195195.0
2023-04-19,KN5977,81434.0
2023-04-19,KN5978,123491.65
2023-04-20,KN5737,157045.0
2023-04-20,KN5738,233888.0
2023-04-20,KN5955,211583.0
2023-04-20,KN5956,201872.0
2023-04-20,KN5977,78328.0
2023-04-20,KN5978,90080.0
2023-04-21,KN5737,141489.0
2023-04-21,KN5738,241883.0
2023-04-21,KN5955,252353.0
2023-04-21,KN5956,251419.0
2023-04-21,KN5977,129755.0
2023-04-21,KN5978,102326.0
2023-04-22,KN5737,137868.0
2023-04-22,KN5738,198618.0
2023-04-22,KN5955,167084.0
2023-04-22,KN5956,168229.0
2023-04-22,KN5977,68442.0
2023-04-22,KN5978,72929.0
2023-04-23,KN5737,150353.0
2023-04-23,KN5738,228289.0
2023-04-23,KN5955,188491.0
2023-04-23,KN5956,151664.0
2023-04-23,KN5977,80538.0
2023-04-23,KN5978,89616.0
2023-04-24,KN5737,144035.0
2023-04-24,KN5738,234088.0
2023-04-24,KN5955,190903.0
2023-04-24,KN5956,150629.0
2023-04-24,KN5977,81330.0
2023-04-24,KN5978,97758.0
2023-04-25,KN5737,134924.0
2023-04-25,KN5738,206783.0
2023-04-25,KN5955,199450.0
2023-04-25,KN5956,169710.0
2023-04-25,KN5977,90699.0
2023-04-25,KN5978,78055.0
2023-04-26,KN5737,158538.0
2023-04-26,KN5738,212748.0
2023-04-26,KN5955,248409.0
2023-04-26,KN5956,230958.0
2023-04-26,KN5977,110079.0
2023-04-26,KN5978,108490.0
2023-04-27,KN5737,169136.0
2023-04-27,KN5738,279539.0
2023-04-27,KN5955,285948.0
2023-04-27,KN5956,289919.0
2023-04-27,KN5977,146013.0
2023-04-27,KN5978,131769.5
2023-04-28,KN5737,228530.0
2023-04-28,KN5738,385359.0
2023-04-28,KN5955,422290.0
2023-04-28,KN5956,481908.0
2023-04-28,KN5977,227770.0
2023-04-28,KN5978,202880.0
2023-04-29,KN5737,433930.0
2023-04-29,KN5738,431940.0
2023-04-29,KN5955,307014.0
2023-04-29,KN5956,259925.0
2023-04-29,KN5977,158408.0
2023-04-29,KN5978,215368.0
2023-04-30,KN5737,205743.0
2023-04-30,KN5738,234373.0
2023-04-30,KN5955,196731.0
2023-04-30,KN5956,191108.0
2023-04-30,KN5977,109621.0
2023-04-30,KN5978,154687.8
2023-05-01,KN5737,153155.0
2023-05-01,KN5738,182705.0
2023-05-01,KN5955,155364.0
2023-05-01,KN5956,195588.0
2023-05-01,KN5977,87127.0
2023-05-01,KN5978,103691.5
2023-05-02,KN5737,119903.0
2023-05-02,KN5738,244389.0
2023-05-02,KN5955,227963.0
2023-05-02,KN5956,312829.0
2023-05-02,KN5977,138950.0
2023-05-02,KN5978,108949.0
2023-05-03,KN5737,182633.0
2023-05-03,KN5738,368470.0
2023-05-03,KN5955,283103.0
2023-05-03,KN5956,374129.0
2023-05-03,KN5977,135595.0
2023-05-03,KN5978,245878.45
2023-05-04,KN5737,159686.0
2023-05-04,KN5738,264081.0
2023-05-04,KN5955,164260.0
2023-05-04,KN5956,200484.0
2023-05-04,KN5977,94904.0
2023-05-04,KN5978,139943.0
2023-05-05,KN5737,110896.0
2023-05-05,KN5738,200147.0
2023-05-05,KN5955,122203.0
2023-05-05,KN5956,113938.0
2023-05-05,KN5977,78633.0
2023-05-05,KN5978,92892.0
2023-05-06,KN5737,104830.0
2023-05-06,KN5738,184502.0
2023-05-06,KN5955,164862.0
2023-05-06,KN5956,107414.0
2023-05-06,KN5977,93017.0
2023-05-06,KN5978,79873.56
2023-05-07,KN5737,145824.0
2023-05-07,KN5738,160800.0
2023-05-07,KN5955,217767.0
2023-05-07,KN5956,153134.0
2023-05-07,KN5977,94999.0
2023-05-07,KN5978,89164.96
2023-05-08,KN5737,158586.0
2023-05-08,KN5738,223188.0
2023-05-08,KN5955,176594.0
2023-05-08,KN5956,147119.0
2023-05-08,KN5977,85775.0
2023-05-08,KN5978,96291.34
2023-05-09,KN5737,148160.0
2023-05-09,KN5738,188028.0
2023-05-09,KN5955,160274.0
2023-05-09,KN5956,157631.0
2023-05-09,KN5977,93415.0
2023-05-09,KN5978,102163.0
2023-05-10,KN5737,147965.0
2023-05-10,KN5738,239006.0
2023-05-10,KN5955,222269.0
2023-05-10,KN5956,194154.0
