航班日期,实际销售额（sale_volume）
2023/4/20,90080
2023/4/20,211583
2023/4/20,233888
2023/4/21,141489
2023/4/21,129755
2023/4/21,252353
2023/4/21,102326
2023/4/21,241883
2023/4/21,251419
2023/4/22,137868
2023/4/22,167084
2023/4/22,198618
2023/4/22,168229
2023/4/22,72929
2023/4/22,68442
2023/4/23,151664
2023/4/23,150353
2023/4/23,228289
2023/4/23,80538
2023/4/23,89616
2023/4/23,188491
2023/4/24,81330
2023/4/24,234088
2023/4/24,144035
2023/4/24,150629
2023/4/24,97758
2023/4/24,190903
2023/4/25,78055
2023/4/25,90699
2023/4/25,169710
2023/4/25,134924
2023/4/25,199450
2023/4/25,206783
2023/4/26,212748
2023/4/26,248409
2023/4/26,110079
2023/4/26,108490
2023/4/26,230958
2023/4/26,158538
2023/4/27,289919
2023/4/27,285948
2023/4/27,169136
2023/4/27,279539
2023/4/27,131769.5
2023/4/27,146013
2023/4/28,481908
2023/4/28,202880
2023/4/28,228530
2023/4/28,422290
2023/4/28,385359
2023/4/28,227770
2023/4/29,158408
2023/4/29,259925
2023/4/29,431940
2023/4/29,215368
2023/4/29,433930
2023/4/29,307014
2023/4/30,205743
2023/4/30,109621
2023/4/30,234373
2023/4/30,154687.8
2023/4/30,196731
2023/4/30,191108
2023/5/1,195588
2023/5/1,153155
2023/5/1,155364
2023/5/1,103691.5
2023/5/1,182705
2023/5/1,87127
2023/5/2,108949
2023/5/2,312829
2023/5/2,244389
2023/5/2,119903
2023/5/2,227963
2023/5/2,138950
2023/5/3,368470
2023/5/3,182633
2023/5/3,245878.45
2023/5/3,283103
2023/5/3,135595
2023/5/3,374129
2023/5/4,159686
2023/5/4,164260
2023/5/4,94904
2023/5/4,264081
2023/5/4,200484
2023/5/4,139943
2023/5/5,113938
2023/5/5,200147
2023/5/5,122203
2023/5/5,92892
2023/5/5,78633
2023/5/5,110896
2023/5/6,164862
2023/5/6,107414
2023/5/6,79873.56
2023/5/6,184502
2023/5/6,104830
2023/5/6,93017
2023/5/7,145824
2023/5/7,89164.96
2023/5/7,94999
2023/5/7,217767
2023/5/7,153134
2023/5/7,160800
2023/5/8,85775
2023/5/8,147119
2023/5/8,176594
2023/5/8,158586
2023/5/8,96291.34
2023/5/8,223188
2023/5/9,148160
2023/5/9,188028
2023/5/9,93415
2023/5/9,157631
2023/5/9,102163
2023/5/9,160274
2023/5/10,96861
2023/5/10,239006
2023/5/10,194154
2023/5/10,222269
2023/5/10,109229
2023/5/10,147965
2023/5/11,98410
2023/5/11,239784
2023/5/11,195788
2023/5/11,200466
2023/5/11,117867.92
2023/5/11,156205
2023/5/12,245510
2023/5/12,167677
2023/5/12,223022
2023/5/12,135360
